name,url,img
Suraj Pe Mangal Bhari,2020/12/07/Suraj_pe_mangal_bhari_zee5_movie.html,surajpemangalbhari.jpg
GodMothered,2020/12/09/GodMothered_2020_dosney_Movie.html,godmothered.jpg
Fukrey Boyzzz: Space Mein Fukrapanti,2020/12/06/fukrey_boyzzz_space_mein_fukrapanti_2020-netflix.html,fukreyboyzzzspacemeinfukrapanti.jpg
Anwar Ka Ajab Kissa,2020/11/26/Anwar-Ka-Ajab-Kissa-erosnow-watch-online.html,anwarkaajabkissa.jpg
Ludo,2020/11/13/Ludo-netflix.html,ludo.jpg
21 Bridges,2020/11/29/21_Bridges_2019_Netflix_movie.html,21bridges.jpg
Jingle Jangle,2020/11/29/Jingle_Jangle_a_Christmas_Journey_2020_netflix_movie.html,jinglejungle.jpg
Landon Confidental,2020/12/02/Landon-confidental_20200_zee5_movie.html,landonconfidental.jpg
The Hole In The Ground,2020/11/29/The_Hole_In_The_Ground_2019_Netflix_movie.html,theholeintheground.jpg
Laxmii,2020/11/09/Laxmi-hotstar.html,laxmii.jpg
All Movies,/movies,allmovies.jpg
