name,url,img
The Boys,2020/12/07/The_Boys_Amazon_prime_webseries.html,theboys.jpg
Fabulous Lives of Bollywood Wives,2020/12/06/Fabulous_Lives_of_Bollywood_Wives_2020_netflix_webseries.html,fabulouslivesofbollywoodwives.jpg
Naxalbari,2020/11/30/Naxalbari_2020_zee5_webseries.html,naxalbari.jpg
Dark 7 White,2020/11/27/Dark_7_White_alt_balaji_and_zee5_webseries.html,dark7white.jpg
The Queen’s Gambit,2020/11/26/The-Queens-Gambit-Netflix-watch-online.html,thequeensgambit.jpg
Beehad Ka Baghi,2020/11/29/Beehad_ka_baghi_MX_player_web_series.html,beehadkabaghi.jpg
The Right Stuff,2020/12/02/The_Right_stuff_2020_disney+_web_series.html,therightstuff.jpg
Bicchoo ka khel,2020/11/20/Bicchoo-Ka-Khel-Alt-balaji-web-series.html,bicchookakhel.jpg
Mum Bhai,2020/11/13/Mum-Bhai-zee5.html,mumbhai.jpg
Mismatched,2020/11/21/Mismetched-Netflix-web-series-online.html,mismatched.jpg
All Web Series,/series,allseries.jpg
