name,url,img
21 Bridges,2020/11/29/21_Bridges_2019_Netflix_movie.html,21bridges.jpg
A babysitter’s guide to monster hunting,2020/12/03/a_babysitters_guide_to_monster_hunting_2020-netflix.html,ababysittersguidetomonsterhunting.jpg
Anwar Ka Ajab Kissa,2020/11/26/Anwar-Ka-Ajab-Kissa-erosnow-watch-online.html,anwarkaajabkissa.jpg
Atkan Chatkan,2020/12/04/Atkan_Chatkan_2020_zee5_movie.html,atkanchatkan.jpg
Black Beauty,2020/12/07/Black_Beauty_disney_movie.html,blackbeauty.jpg
Cargo,2020/11/09/Cargo-netflix.html,cargo.jpg
Chhalang,2020/11/13/Chhalang-amazon-prime.html,chhalang.jpg
Class of ‘83,2020/11/07/Class-of-83-netflix.html,classof83.jpg
Comedy Couple,2020/10/26/Comedy-Couple-zee5-watch-1080p.html,comedycouple.jpg
Dil Bechara,2020/11/05/Dil-Bechara.html,dilbechara.jpg
Enola Holmes,2020/11/13/Enola-Holmes-Netflix.html,enolaholmes.jpg
Evil Eye,2020/11/17/Evil-Eye-Amazon-prime.html,evileye.jpg
Footfairy,2020/11/03/Footfairy-zee5.html,footfairy.jpg
Fukrey Boyzzz: Space Mein Fukrapanti,2020/12/06/fukrey_boyzzz_space_mein_fukrapanti_2020-netflix.html,fukreyboyzzzspacemeinfukrapanti.jpg
Ginny Weds Sunny,2020/11/05/Ginny-Weds-Sunny-Netflix.html,ginnywedssunny.jpg
GodMothered,2020/12/09/GodMothered_2020_dosney_Movie.html,godmothered.jpg
Hercules,2020/11/04/Hercules-disney-(1997).html,hercules.jpg
Homeless Ashes,2020/11/21/Homeless-Ashes-2019.html,homelessashes.jpg
In The Arms of an Asseassin,2020/11/17/In-The-Arms-of-an-Assassin-(Killing-sarai).html,killingsarai.jpg
Jersey,2020/11/26/Jersey-Hotstar-watch-online.html,jersey.jpg
Jingle Jangle,2020/11/29/Jingle_Jangle_a_Christmas_Journey_2020_netflix_movie.html,jinglejungle.jpg
Kaali khuhi,2020/11/03/Kaali-khuhi-netflix.html,kaalikhuhi.jpg
Khuda haafiz,2020/11/07/Khuda-haafiz-hotstar.html,khudahaafiz.jpg
Landon Confidental,2020/12/02/Landon-confidental_20200_zee5_movie.html,landonconfidental.jpg
Laxmii,2020/11/09/Laxmi-hotstar.html,laxmii.jpg
Ludo,2020/11/13/Ludo-netflix.html,ludo.jpg
Ok Jaanu,2020/12/06/ok_jaanu_2017-amazon-prime.html,okjaanu.jpg
Omerta,2020/11/09/Omerta-zee5.html,omerta.jpg
Over The Moon,2020/11/07/Over-The-moon-netflix.html,overthemoon.jpg
Papillon,2020/11/07/papillon.html,papillon.jpg
Sadak 2,2020/12/02/Sadak-2_2020_hotstar_movie.html,sadak2.jpg
Serious Men,2020/11/05/Serious-Men-netflix.html,seriousmen.jpg
Shakuntala Devi,2020/11/08/Shakuntala-Devi-amazon-prime.html,shakuntaladevi.jpg
Shimla Mirchi,2020/12/05/Shimla_Mirchi_movie.html,shimlamirchi.jpg
Spell 2018,2020/11/16/spell-2018-Crush-Pictures.html,spell2018.jpg
Spell 2020,2020/11/16/spell-2020-paramount.html,spell2020.jpg
Suraj Pe Mangal Bhari,2020/12/07/Suraj_pe_mangal_bhari_zee5_movie.html,surajpemangalbhari.jpg
The Call,2020/12/06/the_call_2020-netflix.html,thecall.jpg
The good Dinosaur,2020/11/20/The-Good-Dinosaur-disney-(2015).html,thegooddinosaur.jpg
The Hole In The Ground,2020/11/29/The_Hole_In_The_Ground_2019_Netflix_movie.html,theholeintheground.jpg
The Invisible Man,2020/12/03/The_Invisible_Man_2020-amazonprime.html,theinvisibleman.jpg
The New Mutants,2020/11/12/The-New-Mutants-Marvel.html,thenewmutants.jpg
The Room,2020/12/02/The_Room_2019_movie.html,theroom.jpg
The Wretched,2020/12/02/The_Wretched_2019_netflix_movie.html,thewretched.jpg
Tumhari Sulu,2020/11/26/Tumhari-sulu-2017-watch-online.html,tumharisulu.jpg
Unhinged,2020/11/26/Unhinged-2020-amazon-prime-watch-online.html,unhinged.jpg
Welcome Home,2020/12/03/welcome_home_2020-sonyliv.html,welcomehome.jpg
