name,url,img
A Simple Murder,2020/11/26/A_Simple_Murder_sonyliv_webseries_2020.html,asimplemurder.jpg
Aashram season 1,2020/11/19/aashram-season-1-MX-Player-Web-series.html,aashram.jpg
Aashram season 2,2020/11/19/aashram-season-2-MX-Player-web-series.html,aashram2.jpg
Afsos,2020/11/19/Afsos-Ullu-webseries.html,afsos.jpg
Asur,2020/11/19/Asur-Voot-Select-Web-Series.html,asur.jpg
Beehad Ka Baghi,2020/11/29/Beehad_ka_baghi_MX_player_web_series.html,beehadkabaghi.jpg
Bicchoo ka khel,2020/11/20/Bicchoo-Ka-Khel-Alt-balaji-web-series.html,bicchookakhel.jpg
Crackdown,2020/11/30/Crackdown-2020-Vootselect_webseries.html,crackdown.jpg
Dark 7 White,2020/11/27/Dark_7_White_alt_balaji_and_zee5_webseries.html,dark7white.jpg
Fabulous Lives of Bollywood Wives,2020/12/06/Fabulous_Lives_of_Bollywood_Wives_2020_netflix_webseries.html,fabulouslivesofbollywoodwives.jpg
Forbidden Love,2020/11/09/Forbidden-Love-zee5.html,forbiddenlove.jpg
Four More Shots Please s2,2020/11/20/Four-More-Shots-Please-season-2-Amazon-Prime-web-series.html,fourmoreshotsplease.jpg
Gandii Baat Season5,2020/11/10/Gandii-Baat-Alt-balaji.html,gandiibaat5.jpg
Guardian,2020/11/30/Guardian_2020_Ullu_webseries.html,guardian.jpg
JL 50,2020/10/29/JL-50.html,jl50.jpg
Little Things season 1,2020/12/03/Little_Things_season_1_netflix_webseries.html,littlethings.jpg
Little Things season 2,2020/12/03/Little_Things_Season_2_Netflix_webseries.html,littlethings2.jpg
Little Things season 3,2020/12/03/Little_Things_season_3_Netflix_webseries.html,littlethings3.jpg
Love Ka Panga,2020/11/27/Love_ka_panga_Hungama_webseries_2020.html,lovekapanga.jpg
Mirzapur Season1,2020/10/28/Mirzapur-season1-amazon-prime.html,mirzapur.jpg
Mirzapur Season2,2020/10/23/Mirzapur-Season2-Online-Episode-streamed-on-Amazon-Prime-in-720p.html,mirzapurs2.jpg
Mismatched,2020/11/21/Mismetched-Netflix-web-series-online.html,mismatched.jpg
Modi: CM to PM,2020/11/17/Modi-CM-to-PM-Eros-now.html,modis2.jpg
Modi: Journey of A Common Man,2020/11/17/Modi-Journey-of-A-Common-Man-Eros-Now.html,modis1.jpg
Mum Bhai,2020/11/13/Mum-Bhai-zee5.html,mumbhai.jpg
Naxalbari,2020/11/30/Naxalbari_2020_zee5_webseries.html,naxalbari.jpg
Outer Banks,2020/12/04/Outer_Banks_2020_Netflix_webseries.html,outerbanks.jpg
Paatal Lok,2020/11/08/Paatal-lok-amazon-prime.html,paatallok.jpg
Paper Season 1,2020/11/29/Paper-season_1-Ullu-webseries.html,paper.jpg
Paper Season 2,2020/11/29/Paper-season_2-Ullu-webseries.html,paper2.jpg
Scam 1992: The Harshad Mehta Story,2020/10/26/Scam-1992-The-Harshad-Mehta-Story.html,scam1992.jpg
Slip,2020/11/30/SLIP_2020_Ullu_webseries.html,slip.jpg
Smoke,2020/12/05/Smoke_2018_ErosNow_webseries.html,smoke.jpg
Special OPS,2020/11/19/Special-OPS-Hotstar-Web-series.html,specialops.jpg
Taish,2020/11/03/Taish-Zee5.html,taish.jpg
The Boys,2020/12/07/The_Boys_Amazon_prime_webseries.html,theboys.jpg
The Night Manager,2020/11/08/The-Night-Manager-amazon-prime.html,thenightmanager.jpg
The Queen’s Gambit,2020/11/26/The-Queens-Gambit-Netflix-watch-online.html,thequeensgambit.jpg
The Right Stuff,2020/12/02/The_Right_stuff_2020_disney+_web_series.html,therightstuff.jpg
The Untamed,2020/12/02/The_Untamed_2019_amazon_prime_web_series.html,theuntamed.jpg
Unbelievable,2020/12/09/Unbelievable_2019_Netflix_webseries.html,unbelievable.jpg
Undekhi,2020/10/29/Undekhi.html,undekhi.jpg
